PillarID,MeasureID,MeasureNum,MeasureName,MeasureGoal,MeasureMetricTxt,MeasureToolTip,MeasureStatus,NoteMeasureDefinition,NoteNextUpdateText,NoteDataSourceText,NoteDataSourceURL,CallOutMoreDataURL,BadgePressReleaseUrl
P1,P1.M1,1,Cohort Graduation Rate,Increase the adjusted four-year cohort high school graduation rate to 92% by 2030.,Percentage of 9th-graders graduating from high school four years later,How many our our students graduate from high school?,Baseline Year,"This measure tracks a single 9th-grade class (""cohort"") to see how many earn a diploma within four years. ""Adjusted"" means the rate accounts for students who transfer in or out.","Data for the next cohort, those in 9th-grade in 2022-23, will be available in September, 2026.",NC Department of Public Instruction Cohort Graduation Rate Dashboard,https://go.ncdpi.gov/CGRState,https://go.ncdpi.gov/CGRState,https://www.dpi.nc.gov/news/press-releases/2025/09/03/test-scores-graduation-rates-rise-north-carolina-students
P1,P1.M2,2,ACT Composite Score,Increase the average ACT composite score to 20 by 2030.,Average ACT composite score ,How do our 11th-graders score on the national ACT assessment?,Baseline Year,"The ACT is a national college-entrance test. This measure is North Carolina's average composite score (out of 36) for each graduating class. In North Carolina, all 11th graders take the ACT each spring as part of the state's school accountability system.",Fall 2026,ACT,https://www.act.org/content/act/en/research/services-and-resources/data-and-visualization/grad-class-database-2025.html,https://www.dpi.nc.gov/districts-schools/accountability-and-testing/school-accountability-and-reporting/act-reports,
P1,P1.M3,3,AP Participation,"Increase the Advanced Placement (AP) participation rate among 10th, 11th and 12th grade students to 29% by 2030.","Percentage of 10th, 11th, and 12th-graders who take an Advanced Placement exam",How many of our high school students enroll in Advanced Placement courses?,Baseline Year,"Advanced Placement (AP) exams are college-level tests in subjects like English or calculus. This measure is the share of 10th-, 11th-, and 12th-graders who take at least one AP exam each year.",November 2026,College Board,https://apcentral.collegeboard.org/about-ap/ap-data-research/national-state-data,https://www.dpi.nc.gov/districts-schools/accountability-and-testing/school-accountability-and-reporting/north-carolina-sat-and-ap-results,https://www.dpi.nc.gov/news/press-releases/2025/11/05/advanced-placement-growth-nc-continues-outpace-nation-makes-state-history
P1,P1.M4,4,AP Performance,"Increase the percentage of 10th, 11th and 12th grade students who pass an AP exam with a score of 3, 4, or 5 to 75% by 2030.","Percentage of 10th, 11th, and 12th-graders who pass an Advanced Placement exam",How many of our high school students earn college credit by passing Advanced Placement exams?,Baseline Year,"AP exams are scored on a scale of 1 to 5. Students who earn a 3, 4 or 5 on an AP exam have demonstrated that they are qualified to receive college-level credit for that subject. This measure is the percentage of student who scored high enough on an AP exam to earn college credit.",November 2026,College Board,https://apcentral.collegeboard.org/about-ap/ap-data-research/national-state-data,https://www.dpi.nc.gov/districts-schools/accountability-and-testing/school-accountability-and-reporting/north-carolina-sat-and-ap-results,https://www.dpi.nc.gov/news/press-releases/2025/11/05/advanced-placement-growth-nc-continues-outpace-nation-makes-state-history
P1,P1.M6,5,Dual Enrollment Participation,Increase the percentage of high school graduates that enroll in at least one dual enrollment course to 41% by 2030.,Percentage of high school graduates that enroll in at least one dual enrollment course,How many of our high school students enroll in at least dual enrollment course with local colleges?,Baseline Year,"Through dual enrollment, NC high school students take courses at a community college or university and earn high school and college credit at the same time. This measure is the percentage of high school graduates who took at least one dual enrollment course while in high school.",March 2027,NC Department of Public Instruction,https://webservices.ncleg.gov/ViewDocSiteFile/105541,https://www.dpi.nc.gov/students-families/enhanced-opportunities/advanced-learning-and-gifted-education/career-and-college-promise,
P1,P1.M7,6,Dual Enrollment Credit,Increase the percentage of high school graduates who earn high school credit through dual enrollment courses to 41% by 2030.,Percentage of high school graduates who earn high school credit in at least one dual enrollment course,How many of our high school students earn credit in dual enrollment programs with local colleges?,Baseline Year,"Through dual enrollment, NC high school students take courses at a community college or university and earn high school and college credit at the same time. This measure is the percentage of high school graduates who earned high school credit through at least one dual enrollment course while in high school.",March 2027,NC Department of Public Instruction,https://webservices.ncleg.gov/ViewDocSiteFile/105541,https://www.dpi.nc.gov/students-families/enhanced-opportunities/advanced-learning-and-gifted-education/career-and-college-promise,
P1,P1.M8,7,CTE Participation,Increase the percentage of all students participating in a CTE course to 41% by 2030.,Percentage of all students participating in a Career and Technical Education course,How many of our high school students participate in Career and Technical Education programs?,Baseline Year,"Career and Technical Education (CTE) courses teach job-ready skills in fields like health care, technology, and the building trades. This measure is the share of K-12 students taking at least one CTE course.",Fall 2026,"Calculated by the NC Department of Public Instruction with data from the Perkins Collaborative Resource Network and the National Center for Education Statistics Common Core of Data.", https://cte.ed.gov/pcrn/explorer,https://www.dpi.nc.gov/districts-schools/classroom-resources/career-and-technical-education,
P1,P1.M9,8,CTE Credentials,"Increase the number of CTE credentials earned by students yearly to 500,000 by 2030.",Number of Career and Technical Education credentials earned by students,How many of our high school students  earn credits in Career and Technical Education programs?,Baseline Year,"A Career and Technical Education (CTE) credential is an industry-recognized certification students can earn in high school, such as Microsoft Office Specialist or Certified Nurse Aide. This measure is the total number of credentials earned by North Carolina students each year.",January 2027,NC Department of Public Instruction,https://www.dpi.nc.gov/districts-schools/classroom-resources/career-and-technical-education/credentials-and-reporting,https://www.dpi.nc.gov/districts-schools/classroom-resources/career-and-technical-education,https://www.dpi.nc.gov/news/press-releases/2026/02/04/north-carolina-cte-students-earn-record-breaking-382964-industry-credentials-2024-2025
P1,P1.M11,9,NAEP Grade 4 Reading,Increase the average scale score on the 4th grade reading NAEP assessment to 225 by 2030.,Average scale score on 4th grade reading national assessment (NAEP),How do our 4th-graders score in reading on the National Assessment of Educational Progress?,Baseline Year,The National Assessment for Educational Progress (NAEP) in 4th grade reading is given every two years to a student sample in all 50 states. Reading scores run 0 to 500; a 208 counts as Basic and 238 as Proficient. This measure is North Carolina's average 4th-grade scale score.,January 2027,National Assessment of Educational Progress (NAEP),https://www.nationsreportcard.gov/profiles/stateprofile?chort=1&sub=RED&sj=&sfj=NP&st=NC&year=2024R3,https://www.dpi.nc.gov/districts-schools/accountability-and-testing/state-tests/national-assessment-educational-progress-naep,
P1,P1.M12,10,NAEP Grade 8 Reading,Increase the average scale score on the 8th grade reading NAEP assessment to 268 by 2030.,Average scale score on 8th grade reading national assessment (NAEP),How do our 8th-graders score in reading on the National Assessment of Educational Progress?,Baseline Year,The National Assessment for Educational Progress (NAEP) in 8th grade reading is given every two years to a student sample in all 50 states. Reading scores run 0 to 500; a 243 counts as Basic and 281 as Proficient. This measure is North Carolina's average 8th-grade scale score.,January 2027,National Assessment of Educational Progress (NAEP),https://www.nationsreportcard.gov/profiles/stateprofile?chort=2&sub=RED&sj=&sfj=NP&st=NC&year=2024R3,https://www.dpi.nc.gov/districts-schools/accountability-and-testing/state-tests/national-assessment-educational-progress-naep,
P1,P1.M13,11,NAEP Grade 4 Math,Increase the average scale score on the 4th grade math NAEP assessment to 246 by 2030.,Average scale score on 4th grade mathematics national assessment (NAEP),How do our 4th-graders score in math on the National Assessment of Educational Progress?,Baseline Year,The National Assessment for Educational Progress (NAEP) in 4th grade math is given every two years to a student sample in all 50 states. Math scores run 0 to 500; a 214 counts as Basic and 249 as Proficient. This measure is North Carolina's average 4th-grade scale score.,January 2027,National Assessment of Educational Progress (NAEP),https://www.nationsreportcard.gov/profiles/stateprofile?chort=1&sub=MAT&sj=&sfj=NP&st=NC&year=2024R3,https://www.dpi.nc.gov/districts-schools/accountability-and-testing/state-tests/national-assessment-educational-progress-naep,
P1,P1.M14,12,NAEP Grade 8 Math,Increase the average scale score on the 8th grade math NAEP assessment to 283 by 2030.,Average scale score on 8th grade mathematics national assessment (NAEP),How do our 8th-graders score in math on the National Assessment of Educational Progress?,Baseline Year,The National Assessment for Educational Progress (NAEP) in 8th grade math is given every two years to a student sample in all 50 states. Math scores run 0 to 500; a 262 counts as Basic and 299 as Proficient. This measure is North Carolina's average 8th-grade scale score.,January 2027,National Assessment of Educational Progress (NAEP),https://www.nationsreportcard.gov/profiles/stateprofile?chort=2&sub=MAT&sj=&sfj=NP&st=NC&year=2024R3,https://www.dpi.nc.gov/districts-schools/accountability-and-testing/state-tests/national-assessment-educational-progress-naep,
P1,P1.M15,13,Schools of Character,Increase the number of North Carolina public schools recognized as National Schools of Character by Character.org (now CharacterPlus).,Number of schools recognized as National Schools of Character,How many of our schools are recognized as National Schools of Character?,Baseline Year,Under development — the definition and data source for this measure are still being finalized.,,Character.org,https://character.org/,https://www.dpi.nc.gov/districts-schools/classroom-resources/office-teaching-and-learning/programs-and-initiatives/character-education/character-matters,
P8,P8.M2,14,Public School Enrollment,Increase the percentage of school-aged children enrolled in public schools to 89% by 2030. ,Percentage of school-aged children enrolled in public schools,How many of our school-aged children are enrolled in NC public schools?,Baseline Year,"Public schools include traditional district schools, public charter schools, UNC lab schools, and regional public schools. The remaining students attend private schools or are homeschooled.",July 2026,"Calculated by the NC Department of Public Instruction. Public school enrollment from Table 1 and Table 3 of the NCDPI Statistical Profile. Private school enrollment from the NC Statistical Summary for Private Schools (NC Department of Administration). Home school enrollment from the NC Statistical Summary for Home Schools (NC Department of Administration).",https://apps.schools.nc.gov/public/f?p=145:11::::::,https://apps.schools.nc.gov/apx212/f?p=145:211::::::,
